,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
222,STLD,7777109000.0,0.1716,0.132,0.0491,0.1305,0.093,0.0764,1.456,0.8052,0.0636,-0.0293,-0.027000000000000003,0.0427,-0.0146,0.2233,23.0637,10.0408,3.0146,Basic Materials,8828549695.56,21.19050623713063,1.786661539415731,494136662193.2818,2016
223,AWI,837300000.0,0.3667,0.35200000000000004,0.125,0.393,0.0542,0.1617,2.4829,3.2793,-0.1614,-0.0374,-0.202,-0.004,-0.2982,0.051,22.4734,10.3947,8.6911,Basic Materials,2331612429.25,43.313636054090786,0.47185578558386515,494136662193.2818,2016
224,CDE,571897000.0,0.2098,0.32299999999999995,0.0968,0.07200000000000001,0.0336,0.0533,0.4999,0.2741,-0.0829,-0.2059,-0.2172,-0.2085,-0.2323,0.0,27.8286,9.4834,2.1588,Basic Materials,1658977110.08,-22.99794480242589,0.33573244752098363,494136662193.2818,2016
225,CE,5389000000.0,0.2607,0.267,0.16699999999999998,0.3478,0.0928,0.181,1.6284,1.1623,0.002,0.0927,-0.03,0.1784,-0.032,-0.0361,12.8035,9.5517,4.3589,Basic Materials,11385791847.45,37.175124436901385,2.30417872596477,494136662193.2818,2016
226,HUN,7518000000.0,0.2019,0.126,0.0434,0.2533,0.0602,0.0678,4.0011,3.2424,-0.0216,0.0284,-0.076,0.0582,-0.1171,0.3722,13.9565,8.8601,3.5407,Basic Materials,4586899563.54,76.26408150231673,0.9282653796989125,494136662193.2818,2016
229,WY,6365000000.0,0.2259,0.332,0.1614,0.1119,0.0291,0.0611,3.0516,0.7757,-0.1698,-0.0288,-0.0519,0.1834,-0.1157,0.1286,21.6857,13.8049,2.4773,Basic Materials,22711050868.44,20.519563397295133,4.596107232285582,494136662193.2818,2016
232,CF,3685000000.0,0.2288,0.145,-0.0752,-0.0827,0.0175,-0.0238,8.6473,1.7258,0.079,0.0,-0.0209,0.0,-0.0527,0.0,0.0,22.586,2.2161,Basic Materials,7429348566.03,38.521587082768534,1.5035007791273756,494136662193.2818,2016
234,VMC,3592667000.0,0.2753,0.268,0.1168,0.0917,0.0531,0.1042,1.7801,0.4337,-0.0236,-0.0416,0.0635,0.0,0.0824,1.5623,39.5683,18.8984,3.6136,Basic Materials,16491027911.36,3.8474761298035327,3.337341503494741,494136662193.2818,2016
236,LPX,2233400000.0,0.181,0.141,0.0671,0.1253,0.116,0.0869,-0.9405,0.3153,-0.0286,-0.0119,0.0932,0.0,0.014,-0.0627,18.7981,7.909,2.3495,Basic Materials,2780508075.35,34.32223092403158,0.5627002179940259,494136662193.2818,2016
237,NEM,6680000000.0,0.4404,0.215,-0.0942,-0.0587,-0.0006,-0.0408,1.2556,0.4305,0.015,0.0,-0.0992,0.0,-0.0965,0.0,0.0,14.0549,1.7144,Basic Materials,18379875062.62,9.11163228918093,3.719593478662124,494136662193.2818,2016
241,EMN,9008000000.0,0.2617,0.209,0.0948,0.1884,0.0632,0.1346,3.4130000000000003,1.455,0.0407,0.0888,0.033,0.0438,0.0035,-0.0839,13.0897,9.3424,2.4584,Basic Materials,11141326354.08,25.09932067267776,2.2547054704720666,494136662193.2818,2016
242,MLM,3818749000.0,0.2388,0.255,0.1114,0.1028,0.0615,0.1073,1.68,0.4073,0.0222,0.0216,0.0985,0.2995,0.0874,0.3652,33.533,16.2338,3.4148,Basic Materials,14173899746.1,-0.23942288896000144,2.868416944249296,494136662193.2818,2016
243,FOE,1145292000.0,0.3112,0.057,-0.0182,-0.0842,0.0706,-0.0348,8.0868,2.3248,-0.1154,0.0,-0.1109,0.0,0.0001,0.0,0.0,26.4971,4.8675,Basic Materials,1204087342.0,63.36565677352817,0.24367496567761665,494136662193.2818,2016
244,MOS,7162800000.0,0.1131,0.146,0.0416,0.0311,0.0134,0.0276,3.0033,0.3984,0.0395,0.0,-0.0171,-0.3151,-0.0445,-0.4235,34.7412,12.8797,1.0796,Basic Materials,10342544351.97,-10.990848670194875,2.0930534289974436,494136662193.2818,2016
251,ARLP,1931453000.0,0.4024,0.366,0.1757,0.312,0.1147,0.221,0.8807,0.6086,0.0694,0.0676,0.0071,-0.0292,-0.0452,-0.05,6.7257,3.2806,1.5588,Basic Materials,1695750570.0,-5.508618430041745,0.34317440897285745,494136662193.2818,2016
254,CBT,2411000000.0,0.2385,0.16399999999999998,0.061,0.1154,0.0657,0.0758,1.8278,0.7237,-0.0092,0.0485,-0.0425,-0.084,-0.1065,-0.0059,22.3974,10.1044,2.567,Basic Materials,3269227520.94,22.633494994777244,0.6616039187274957,494136662193.2818,2016
263,SXT,1383210000.0,0.3437,0.171,0.0913,0.1511,0.0801,0.1288,2.4473,0.7219,0.0264,0.0696,0.0155,0.032,0.0187,0.0759,27.3662,17.118,4.1178,Basic Materials,3461867659.52,-4.351459951223978,0.7005891131724787,494136662193.2818,2016
264,FMC,2538900000.0,0.3668,0.16699999999999998,0.0824,0.1068,0.0347,0.1073,4.5672,1.0203,0.0218,0.0621,-0.0253,-0.0967,-0.0688,-0.1085,31.7066,20.2062,3.3815,Basic Materials,6619974629.9285,67.62574980946846,1.3397052144532222,494136662193.2818,2016
265,SCCO,5379800000.0,0.436,0.425,0.1443,0.1331,0.083,0.0751,2.3428,1.0209,0.0119,-0.0798,-0.0271,-0.1816,-0.0052,-0.1945,32.38,13.297,4.2932,Basic Materials,25030273266.22,48.73723212576184,5.065455607993199,494136662193.2818,2016
267,GRA,1598600000.0,0.419,0.209,0.0589,0.2552,0.0566,0.1041,4.4297,4.2953,-0.0584,0.2662,-0.1217,-0.1477,-0.1712,-0.2629,51.3731,18.8381,12.8608,Basic Materials,4825381448.2,3.108679504787297,0.9765277133621285,494136662193.2818,2016
270,MUX,60388000.0,0.5341,0.332,0.3487,0.0475,0.0222,0.0669,-2.2931,0.0,0.0,0.0,0.0,0.0,0.0929,0.0,46.2857,46.1022,2.1947,Basic Materials,970470156.24,-29.383063840872296,0.19639711652490183,494136662193.2818,2016
274,ALB,2677203000.0,0.3624,0.385,0.2404,0.1696,0.0617,0.1422,0.0965,0.6243,-0.0049,0.1425,-0.0555,0.0575,-0.0586,0.0514,15.3665,9.6995,2.6098,Basic Materials,9903506428.95,46.85439549604578,2.004203935201278,494136662193.2818,2016
275,OC,5677000000.0,0.2426,0.182,0.0692,0.1021,0.0657,0.1052,1.9283,0.5461,-0.0801,0.0,0.0265,0.08800000000000001,0.0347,0.2579,15.1047,7.633999999999999,1.5241,Basic Materials,5888287864.92,78.93691487708159,1.191631448430514,494136662193.2818,2016
277,EXP,1143492000.0,0.2026,0.29100000000000004,0.1334,0.1466,0.0688,0.1007,1.5087,0.4879,0.0306,-0.0038,0.1703,0.5559,0.1881,0.3555,22.763,11.8923,3.3085,Basic Materials,3457108745.91,13.63573386022778,0.6996260367658674,494136662193.2818,2016
